Blog	following	worth	personal	earlier	act	anyway	loud	starting	bill	apart	woman	son	history	shot	feet	main	musical	missing	performance	however	friday	pick	mostly	guys	opening	recently	dog	phone	tom	present	punk	title	quality	yesterday	film	view	energy	saying	turns	caught	evening	stuck	type	y	means	london	social	river	singing	due	beyond	possible	seemed	funny	reading	brothers	usually	wonderful	f	itself	albums	share	dancing	needed	tomorrow	key	bed	understand	fresh	fans	wall	asked	aren	built	alive	lead	l	tried	popular	saturday	electric	heads	seeing	bright	large	happened	mountain	noise	company	august	wrote	joy	wind	theme	throughout	create	previous	awesome	themselves	classic	nights	lights	starts	bear	brown	english	june	wants	festival	hits	flying	perhaps	recent	lady	towards	himself	weird	september	important	public	add	birthday	changed	closer	fit	huge	poor	meet	father	hair	quickly	solo	g	current	sex	smith	tree	brought	meant	photo	happen	stories	copy	college	van	building	clean	quick	internet	george	parts	seven	leaving	fair	sister	fight	robert	shit	spend	greatest	added	magic	ghost	truly	jack	dreams	holding	heaven	plays	pay	crowd	bottom	learn	problem	april	date	kept	ep	audience	continue	ends	ain	floor	thoughts	station	human	tune	certain	business	collection	longer	review	various	golden	despite	question	action	plan	animal	totally	giving	food	reasons	system	peter	february	snow	brother	july	debut	season	pieces	lucky	catch	nature	scott	ended	camera	fuck	hill	million	acoustic	co	december	hall	buy	memories	worked	voices	usual	features	members	christmas	v	smile	indie	lack	non	using	fantastic	round	october	spirit	letter	keeping	missed	link	secret	putting	enjoyed	studio	steve	total	older	gives	billy	falling	eventually	amount	definitely	soft	driving	serious	simply	era	met	entire	joe	imagine	liked	ice	streets	inspired	concert	tired	beauty	color	speak	jones	women	pure	choice	series	november	jam	america	michael	likely	nobody	setting	peace	folk	cry	difficult	possibly	section	w	doubt	grow	drums	island	material	names	cross	south	certainly	picked	mid	underground	mike	normal	queen	hoping	seriously	paper	drop	grand	although	afternoon	miles	hopefully	figure	surprise	cd	moments	ok	general	matt	lonely	hotel	whether	slightly	area	edge	pass	land	process	safe	easily	vocals	pictures	north	leaves	holiday	press	weather	spot	bird	led	anymore	fell	example	vs	lee	nowhere	guitars	covers	ray	particular	calling	hi	similar	store	nick	rare	wine	drum	minor	recorded	string	brain	sign	featured	nearly	recording	biggest	onto	expect	wanna	hop	tears	richard	everybody	mention	service	learned	tiny	among	happens	female	level	featuring	mood	information	standing	ground	bass	pre	breaking	damn	perfectly	opportunity	apparently	weren	drugs	brian	brings	coast	rough	event	arms	lake	burning	brand	size	highly	books	empty	beats	jazz	rose	ball	ii	several	except	orange	table	interview	january	answer	regular	ideas	surprised	east	rolling	odd	included	career	began	trouble	begin	smart	ryan	interest	somehow	sitting	absolutely	planet	incredible	points	growing	bunch	natural	eat	chris	glad	glass	society	california	hearts	dirty	mouth	production	label	excellent	ocean	fourth	period	hurt	kiss	attack	burn	dropped	member	support	uk	frank	rhythm	obvious	hearing	focus	sonic	garage	honest	movement	build	hip	became	dave	followed	hang	promise	image	turning	site	cannot	los	managed	finished	finding
Did Not Chart	0	10	1	5	7	5	3	5	2	7	8	1	8	2	3	6	10	0	3	2	4	13	7	0	4	4	16	0	2	9	42	0	2	1	8	2	5	3	4	4	0	3	5	1	5	23	3	3	3	3	1	2	6	2	2	3	3	2	2	8	31	2	1	6	3	5	1	8	8	22	4	16	10	2	1	4	1	2	4	2	3	1	4	6	3	4	1	18	2	2	9	6	0	1	0	3	3	0	8	26	3	4	4	0	6	1	1	3	3	13	10	4	5	0	0	4	0	1	3	10	2	1	1	5	2	1	3	1	0	1	3	8	0	2	3	1	1	1	7	2	6	1	11	0	0	5	9	3	8	2	4	1	1	4	2	3	15	5	2	8	3	11	1	0	2	2	0	4	3	13	2	0	1	4	5	2	3	18	11	1	0	3	2	0	2	3	1	7	8	6	1	4	1	0	6	4	1	0	0	0	2	3	7	2	2	2	2	1	0	20	1	0	3	1	1	9	3	5	12	3	7	4	3	2	3	35	0	3	5	1	7	3	21	1	3	31	2	3	4	3	1	1	3	1	1	1	1	2	9	5	3	1	1	8	2	0	8	5	5	4	7	0	0	3	2	3	3	6	11	3	1	2	4	0	1	3	0	8	3	9	5	0	1	0	1	3	6	12	2	3	0	14	1	6	3	0	1	2	1	4	0	4	2	1	1	2	2	12	16	0	1	0	2	2	0	2	2	4	1	1	0	0	4	13	0	8	1	0	5	0	1	0	0	1	2	1	1	0	11	13	1	1	0	4	14	0	5	0	2	0	2	6	0	5	4	20	5	6	1	3	0	6	12	0	3	0	2	1	21	1	0	5	1	2	8	6	0	8	1	4	4	3	5	1	2	0	3	4	4	1	3	1	3	3	1	1	5	3	2	0	2	0	0	7	1	2	0	8	7	6	1	2	1	3	3	3	10	1	0	0	0	0	1	3	3	9	0	6	1	6	1	3	1	2	1	7	0	4	2	4	0	4	1	4	1	1	2	0	0	4	0	2	1	1	0	1	0	3	3	2	4	1	7	40	7	0	1	4	0	2	0	1	0	2	4	26	2	2	10	3	0	6	10	2	2	5	5	1	1	1	0	0	1	4	2	0	0	0	4	5
adrianoblog	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	2	0	2	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
funky little demons	0	0	1	0	0	1	1	0	0	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	4	2	2	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	2	3	0	0	0	2	0	4	1	1	0	4	0	6	0	0	1	1	0	0	2	0	0	0	0	0	0	0	1	4	0	1	1	0	0	0	1	1	0	3	0	0	0	0	2	0	1	3	0	2	1	1	1	1	1	2	0	0	1	0	0	0	0	0	1	0	1	1	2	0	0	1	1	0	0	1	2	1	0	0	0	0	2	5	1	0	0	2	0	2	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	2	0	0	2	0	0	0	0	0	1	2	1	1	0	2	0	2	1	0	1	0	0	2	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	2	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	2	2	2	1	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	1	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	2	0	0	0	0	0	1	0	2	0	1	1	1	0	0	0	0	2	1	2	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	2	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	2	1	1	2	0	0	0	1	1	0	0	0	0	1	1	0	2	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	1	0	2	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	2	3	0	0	2	0
2+2=5?	2	1	5	0	0	6	0	1	0	1	3	6	1	0	0	1	2	0	0	0	0	1	2	1	3	1	0	3	0	0	0	0	3	8	0	0	0	1	1	0	1	0	0	1	1	0	4	0	0	4	1	7	2	0	0	0	0	0	5	0	4	4	0	1	3	1	0	2	0	1	0	2	0	0	0	0	6	1	0	3	0	0	1	0	0	2	0	0	0	0	2	1	1	0	1	0	1	2	2	0	0	1	1	4	0	2	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	2	0	0	0	1	4	1	1	1	0	3	3	0	2	1	1	0	0	3	1	0	0	0	1	0	0	0	12	0	0	0	0	1	0	0	0	0	2	1	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	1	0	1	0	1	0	0	5	0	2	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	1	0	2	0	1	2	0	3	0	2	0	1	0	0	0	0	0	0	1	0	0	2	1	0	2	1	1	0	2	0	0	2	0	0	0	0	1	1	1	1	1	0	5	0	2	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	1	2	0	1	0	0	1	1	1	2	2	7	0	0	2	1	0	0	0	1	1	1	1	0	1	1	0	0	3	1	1	2	4	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	1	0	1	1	0	2	0	5	0	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	2	0	2	2	1	0	1	0	0	1	0	0	3	1	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	1	1	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	1	1	0	2	3	0	3	2	0	0	0	2	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	3	0	1	0	3	0	1	0	0	2	0	0	1	0	0	0	0	0	0	1	1	0	1	2	1	0	2	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	3	1	0	0	0	2	0	0	0	1	0	2	1	1	1	0	0	1	0	0	2	0	0	0	1
Stonehill Sketchbook	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
forget about it	1	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	1	2	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	3	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	2	1	0	5	0	0	0	3	1	2	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	3	1	0	1	0	0	0	0	0	1	0	3	1	0	0	1	0	1	0	0	0	0	4	0	0	0	0	0	0	1	0	1	0	1	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	4	3	2	0	0	0	1	0	0	1	2	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	2	0	1	0	2	0	1	0	0	0	0	0	0	2	5	0	1	0	0	0	2	3	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	5	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	1	0	0	5	0	1	1	0	5	0	0	0	1	0	0	0	4	0	0	0	0	1	1	1	0	0	0	0	0	1	0	3	1	1	0	0	1	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0
DaveCromwell Writes	10	12	17	16	13	3	1	1	2	1	4	0	8	8	0	5	22	5	39	24	6	5	2	6	11	38	0	1	16	22	20	23	29	3	24	13	10	4	3	6	15	3	4	1	1	3	7	1	10	5	1	9	1	3	4	6	8	23	1	10	20	10	5	5	1	3	4	2	4	22	3	7	3	11	6	28	2	1	9	11	14	4	3	4	0	1	3	8	4	2	11	1	3	14	32	15	20	4	12	34	6	5	7	1	0	2	8	4	17	5	2	6	18	1	14	4	1	12	18	3	16	0	3	9	8	10	1	5	2	5	7	19	1	20	4	3	1	15	2	26	2	2	4	0	2	6	3	9	2	0	9	3	9	2	1	1	4	10	4	3	10	7	2	15	8	5	2	9	9	0	15	2	4	0	7	3	5	29	32	9	3	1	2	3	2	7	2	15	3	6	4	13	6	5	3	5	2	2	6	3	11	1	2	1	8	5	2	6	6	31	2	9	4	25	12	10	4	3	3	1	0	19	14	2	13	0	2	13	14	1	31	12	0	0	4	7	4	1	7	2	0	14	10	0	7	0	5	6	8	1	56	9	11	0	5	8	4	1	7	19	9	15	7	10	26	4	12	12	4	4	2	6	13	8	1	3	2	5	7	6	4	1	7	7	3	1	5	2	4	6	0	10	3	4	4	10	0	7	3	33	4	12	6	0	7	9	1	10	7	12	1	3	2	4	1	4	4	22	8	0	6	7	4	3	11	5	7	4	2	2	4	2	6	6	3	1	34	2	3	83	2	3	3	1	10	4	2	1	9	3	2	2	2	2	1	35	1	23	34	2	1	18	3	8	2	1	21	5	32	8	2	0	25	4	124	11	3	18	1	3	2	15	5	5	1	3	2	4	3	9	28	6	8	3	1	1	69	5	2	3	8	18	2	4	0	8	4	6	3	28	3	5	0	10	5	4	4	1	6	9	8	1	1	3	1	1	3	29	1	2	4	11	2	9	5	2	7	12	5	1	7	1	3	5	2	5	4	0	5	12	5	3	10	2	3	0	1	2	7	6	4	0	19	23	2	1	2	7	0	1	2	2	2	18	8	5	2	13	4	4	9	50	4	4	3	6	3	3	44	4	3	2	12	0	7	2	3	5	1	6
T H E V O I D S	2	0	0	1	2	0	2	1	0	0	1	0	0	18	0	29	0	1	35	44	2	3	6	0	0	0	0	2	8	1	0	2	9	0	16	6	1	0	1	1	1	1	9	0	5	3	3	0	7	21	0	9	1	0	1	0	6	0	0	0	2	1	5	20	0	1	0	3	0	2	4	4	0	0	0	3	0	3	1	0	0	1	1	14	7	0	6	2	2	0	0	0	0	29	29	40	2	0	1	1	1	6	0	0	2	4	0	1	1	0	0	3	1	0	2	3	1	0	8	0	6	0	8	0	12	0	1	0	0	1	4	0	1	0	0	2	0	0	12	14	2	0	12	3	3	9	2	1	1	0	5	0	0	0	0	3	0	0	0	0	11	2	0	0	4	0	1	0	0	1	0	20	0	0	1	1	10	0	47	0	1	0	1	0	0	0	0	1	0	0	0	0	3	0	1	3	4	15	1	5	1	0	3	0	1	0	0	1	1	2	0	1	0	1	1	0	0	22	0	0	0	0	1	0	0	0	0	2	0	1	9	52	0	1	0	45	1	0	27	0	7	6	0	0	4	0	1	0	3	1	19	0	2	0	2	0	2	3	5	0	0	0	0	1	0	1	1	3	0	10	0	2	8	0	0	0	4	0	0	1	0	2	1	0	0	0	0	2	0	6	3	2	0	2	3	1	1	0	0	3	0	0	3	4	0	0	2	2	0	0	13	0	2	1	4	1	0	4	0	0	2	5	0	10	0	0	4	0	0	0	5	9	2	3	0	0	15	1	8	0	11	1	2	1	0	1	1	0	0	0	0	8	0	0	0	2	19	0	4	0	0	19	0	0	0	0	3	14	0	0	0	0	16	0	10	0	7	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	10	4	1	0	6	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	2	21	0	2	1	1	1	0	0	0	0	0	0	14	0	1	0	0	24	0	0	1	2	4	0	0	1	1	2	0	0	0	0	0	0	0	2	0	0	4	0	0	1	5	0	0	1	0	0	15	4	0	0	0	3	0	0	0	0	3	14	0	3	0	0	2	0	5	0	0	0	5	1	0	0	0	1	0	0	35	1	1	1	0	0	1	0
Chantelle Swain A2 Media Studies	1	1	2	4	1	1	3	0	0	1	1	0	0	19	0	17	2	0	4	22	0	0	3	0	0	0	0	17	0	2	0	13	12	0	28	1	0	0	0	0	0	0	3	1	11	3	12	0	0	4	0	4	2	1	0	1	1	0	0	0	2	0	2	5	0	11	0	3	0	5	10	4	0	0	0	2	0	1	3	1	0	0	1	6	15	0	0	2	7	0	0	0	0	3	2	13	5	0	1	0	0	3	0	0	4	3	0	0	0	0	0	3	0	0	1	1	0	1	4	0	9	0	4	1	1	2	0	1	0	3	2	0	2	2	0	0	2	0	1	3	0	2	0	1	0	1	7	2	4	0	5	1	0	1	0	0	1	0	0	0	7	0	1	0	3	0	0	0	1	0	0	2	0	2	0	5	2	0	69	1	0	0	0	1	0	1	0	0	1	0	3	0	1	1	1	1	1	23	0	0	1	0	2	2	0	3	0	0	0	0	0	4	0	0	3	0	1	22	0	4	3	0	1	2	0	0	0	1	0	0	12	4	1	7	0	45	0	3	15	0	0	1	2	0	0	1	3	0	1	0	1	2	0	1	3	0	0	1	10	6	2	0	0	0	0	0	0	0	0	5	0	1	1	0	0	0	0	1	0	1	0	0	0	3	0	0	1	7	0	2	0	0	1	2	1	6	0	0	0	0	1	0	0	6	0	0	2	11	0	0	4	1	0	1	0	0	0	21	0	0	1	1	0	49	0	0	0	0	2	0	7	5	3	0	0	0	2	0	2	0	3	0	2	0	0	0	0	0	0	0	0	11	0	0	0	0	22	0	3	0	0	42	0	0	1	0	0	0	5	1	0	0	2	1	1	2	3	0	0	2	0	0	0	0	0	2	1	1	0	2	0	0	0	7	0	0	0	0	4	0	0	0	0	0	2	2	1	0	1	0	0	0	1	2	1	0	1	0	0	0	1	0	1	1	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	0	0	5	0	0	0	0	0	1	1	0	3	0	1	1	0	0	0	0	0	2	0	30	0	0	0	0	0	3	0	0	0	1	0	3	0	0	0	0	4	0	0	0	1	1	2	0	1	0	0	0	29	0	4	2	0	1	2	0
CRUZANDO EL UNIVERSO...	0	1	0	0	0	0	0	0	1	2	1	10	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	120	0	0	0	0	7	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	3	1	3	1	0	0	0	0	0	0	1	0	9	0	0	1	1	0	0	2	0	2	0	0	2	0	0	1	3	0	0	0	0	0	1	0	1	1	0	0	2	1	1	2	5	0	0	0	0	1	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	1	0	15	72	0	0	0	2	0	1	0	0	0	0	0	3	0	0	0	0	5	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	1	3	2	0	0	2	0	6	1	0	1	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	1	0	0	0	2	1	0	0	0	1	10	1	0	1	0	0	0	0	1	1	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	8	0	0	1	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	8	1	0	1	0	0	0	3	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	2	0	1	8	0	0	2	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	37	0	0	0
jaaackie.	0	0	6	2	3	10	2	2	0	5	0	0	0	0	2	0	0	0	0	13	2	4	0	22	0	0	0	2	1	1	0	0	0	2	0	0	0	9	1	2	1	2	6	2	2	0	1	0	0	1	0	0	0	4	4	0	10	0	7	0	0	0	2	2	8	0	4	3	0	0	2	3	4	3	3	0	1	2	0	2	0	1	1	0	0	6	0	0	1	0	2	0	0	0	0	2	1	2	0	0	2	1	5	0	0	1	1	4	0	3	0	1	0	3	0	0	3	4	5	0	2	4	3	2	1	0	0	1	0	1	3	0	1	1	1	0	0	5	2	0	5	0	0	5	1	0	2	2	0	3	1	1	3	0	0	0	0	8	2	1	1	0	0	2	1	0	3	0	0	2	0	1	6	5	0	3	0	0	0	2	1	3	2	8	0	0	0	2	0	0	3	0	0	1	2	11	0	4	0	1	1	4	3	0	0	0	2	0	2	2	0	2	0	2	0	0	0	2	5	0	2	0	0	0	0	6	1	1	1	3	0	0	0	1	13	0	1	7	1	1	0	1	0	0	3	0	0	1	1	0	0	0	0	0	2	0	0	1	1	5	0	4	7	1	1	0	1	0	1	0	1	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	3	0	4	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	1	1	2	1	1	5	0	1	0	1	0	0	0	2	0	5	0	0	0	4	0	2	1	1	0	1	0	1	0	0	1	1	0	0	23	2	1	0	0	1	0	0	0	0	2	5	1	3	0	0	0	0	0	0	1	0	0	0	0	0	3	1	3	0	0	6	0	0	1	0	5	1	0	2	2	0	0	0	0	1	2	0	0	2	5	2	0	0	1	0	0	0	0	0	1	3	0	0	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	4	2	51	0	1	1	6	0	0	1	2	1	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	2	7	0	0	0	0	0	1	0	0	0	1	1	1	0	0	6	0	0	0	5	0	0	4	1	0	2	0	0	2	0	0	1
A2 MEDIA COURSEWORK JOINT BLOG	5	0	2	1	1	0	0	3	0	1	1	0	0	5	0	0	1	1	18	34	0	0	0	0	1	1	0	1	1	3	0	12	2	0	20	1	1	1	0	1	0	1	2	0	4	3	4	0	1	17	0	11	0	0	2	0	1	0	0	3	2	2	1	6	0	5	0	0	0	0	1	0	0	0	1	13	0	2	2	0	1	0	1	0	4	0	4	0	0	0	4	0	0	0	19	12	5	0	2	0	0	4	0	0	0	1	0	1	3	1	0	1	2	0	2	6	0	3	1	0	6	0	13	2	3	0	1	0	0	0	1	0	0	3	0	0	0	1	1	9	0	0	0	5	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	18	0	2	0	0	0	0	0	0	0	2	10	0	2	0	8	2	2	24	3	0	0	1	1	0	0	0	0	1	0	0	2	10	0	6	13	0	3	0	0	3	1	2	0	0	0	3	0	0	0	0	1	1	1	1	0	0	32	0	0	0	0	0	0	0	0	0	6	0	1	8	32	0	0	0	6	1	0	10	0	3	1	0	2	0	0	2	0	0	0	1	0	0	0	4	0	0	0	4	1	0	0	0	5	0	0	0	9	0	11	0	0	4	0	0	0	0	0	0	1	0	7	0	4	0	0	0	2	0	5	2	0	0	1	1	5	1	2	0	4	0	0	3	0	1	0	1	1	0	0	1	1	0	0	0	1	0	5	0	0	1	0	0	7	0	1	1	4	0	0	0	3	0	2	0	0	10	0	0	1	0	0	0	0	0	2	1	0	1	0	0	7	0	0	0	2	18	0	7	0	0	11	1	0	0	0	2	1	0	0	0	0	12	1	0	0	7	1	0	1	0	0	3	1	0	2	0	1	0	3	1	0	6	8	2	0	3	0	0	0	3	2	0	0	0	0	2	0	0	1	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	7	0	0	6	0	0	0	4	0	5	4	0	3	1	0	0	1	1	0	0	0	7	0	0	0	0	0	0	0	0	1	1	10	0	1	0	0	1	0	0	0	0	8	1	1	1	1	2	0	6	0	2	0	2	0	1	0	0	7	0	0	42	0	0	1	0	1	6	4
